127.0.0.1 - - [23/Jun/2023:15:18:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:24:03 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:24:03 +0900] "POST /MySNS2/jsp/friendList.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:24:03 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:26:07 +0900] "GET /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:26:27 +0900] "GET /MySNS3/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:28:39 +0900] "GET /MySNS2/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:28:39 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:28:39 +0900] "POST /MySNS2/jsp/friendList.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:28:39 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:28:40 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:28:41 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:28:42 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:29:53 +0900] "GET /MySNS3/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:39:49 +0900] "GET /MySNS2/main.html HTTP/1.1" 200 3596
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:39:49 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:39:49 +0900] "POST /MySNS2/jsp/friendList.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:39:49 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:39:51 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:39:51 +0900] "POST /MySNS2/jsp/friendList.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:39:52 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:39:52 +0900] "POST /MySNS2/jsp/userList.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:39:59 +0900] "POST /MySNS2/jsp/friendAdd.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:40:03 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:40:03 +0900] "POST /MySNS2/jsp/friendList.jsp HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:40:05 +0900] "GET /MySNS2/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:40:05 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:40:05 +0900] "POST /MySNS2/jsp/friendList.jsp HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [23/Jun/2023:15:40:05 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6
